dt,sf0_real,sf0_imag,sf1_real,sf1_imag,expectation
0.3,0.6065783783,0.3816739958,0.5106825344,0.4749641892,1.023467145
0.4,0.6065783783,0.3816739958,0.5106825344,0.4749641892,1.041719368
0,0.5186650365,0.3319748161,0.5763823632,0.5371802982,1
0.1,0.5186650365,0.3319748161,0.5763823632,0.5371802982,1.002370401
0.2,0.5186650365,0.3319748161,0.5763823632,0.5371802982,1.009481603
0.3,0.5186650365,0.3319748161,0.5763823632,0.5371802982,1.021333606
0.4,0.5186650365,0.3319748161,0.5763823632,0.5371802982,1.03792641
0,0.2235155633,0.2384223907,0.5399673868,0.7756486175,1
0.1,0.2235155633,0.2384223907,0.5399673868,0.7756486175,1.001659884
0.2,0.2235155633,0.2384223907,0.5399673868,0.7756486175,1.006639536
0.3,0.2235155633,0.2384223907,0.5399673868,0.7756486175,1.014938957
0.4,0.2235155633,0.2384223907,0.5399673868,0.7756486175,1.026558145
0,0.268337069,0.1649290247,0.7979832952,0.5138251598,1
0.1,0.268337069,0.1649290247,0.7979832952,0.5138251598,1.001636927
0.2,0.268337069,0.1649290247,0.7979832952,0.5138251598,1.006547709
0.3,0.268337069,0.1649290247,0.7979832952,0.5138251598,1.014732345
0.4,0.268337069,0.1649290247,0.7979832952,0.5138251598,1.026190836
0,0.5454671058,0.8127399177,0.1557714326,0.1328710787,1
0.1,0.5454671058,0.8127399177,0.1557714326,0.1328710787,1.002841661
0.2,0.5454671058,0.8127399177,0.1557714326,0.1328710787,1.011366645
0.3,0.5454671058,0.8127399177,0.1557714326,0.1328710787,1.025574952
0.4,0.5454671058,0.8127399177,0.1557714326,0.1328710787,1.045466582
0,0.5403066554,0.5593324712,0.4383626265,0.4506152599,1
0.1,0.5403066554,0.5593324712,0.4383626265,0.4506152599,1.002749885
0.2,0.5403066554,0.5593324712,0.4383626265,0.4506152599,1.01099954
0.3,0.5403066554,0.5593324712,0.4383626265,0.4506152599,1.024748964
0.4,0.5403066554,0.5593324712,0.4383626265,0.4506152599,1.043998159
0,0.05579879715,0.4523862364,0.8074508768,0.3745080358,1
0.1,0.05579879715,0.4523862364,0.8074508768,0.3745080358,1.00167559
0.2,0.05579879715,0.4523862364,0.8074508768,0.3745080358,1.006702361
0.3,0.05579879715,0.4523862364,0.8074508768,0.3745080358,1.015080312
0.4,0.05579879715,0.4523862364,0.8074508768,0.3745080358,1.026809443
0,0.6439510048,0.6107721416,0.2995914462,0.3500420829,1
0.1,0.6439510048,0.6107721416,0.2995914462,0.3500420829,1.002911094
0.2,0.6439510048,0.6107721416,0.2995914462,0.3500420829,1.011644375
0.3,0.6439510048,0.6107721416,0.2995914462,0.3500420829,1.026199845
0.4,0.6439510048,0.6107721416,0.2995914462,0.3500420829,1.046577502
0,0.03908620908,0.4712694103,0.3719070628,0.7987881745,1
0.1,0.03908620908,0.4712694103,0.3719070628,0.7987881745,1.001983366
0.2,0.03908620908,0.4712694103,0.3719070628,0.7987881745,1.007933462
0.3,0.03908620908,0.4712694103,0.3719070628,0.7987881745,1.01785029
0.4,0.03908620908,0.4712694103,0.3719070628,0.7987881745,1.031733849
0,0.1578641224,0.01455146216,0.6043211301,0.7808092888,1
0.1,0.1578641224,0.01455146216,0.6043211301,0.7808092888,1.001211033
0.2,0.1578641224,0.01455146216,0.6043211301,0.7808092888,1.00484413
0.3,0.1578641224,0.01455146216,0.6043211301,0.7808092888,1.010899293
0.4,0.1578641224,0.01455146216,0.6043211301,0.7808092888,1.019376521
0,0.04120919164,0.9134010722,0.2618377594,0.3089357079,1
0.1,0.04120919164,0.9134010722,0.2618377594,0.3089357079,1.002806355
0.2,0.04120919164,0.9134010722,0.2618377594,0.3089357079,1.011225421
0.3,0.04120919164,0.9134010722,0.2618377594,0.3089357079,1.025257197
0.4,0.04120919164,0.9134010722,0.2618377594,0.3089357079,1.044901684
0,0.3962853795,0.8186531737,0.09231644825,0.4052684943,1
0.1,0.3962853795,0.8186531737,0.09231644825,0.4052684943,1.002912949
0.2,0.3962853795,0.8186531737,0.09231644825,0.4052684943,1.011651796
0.3,0.3962853795,0.8186531737,0.09231644825,0.4052684943,1.026216541
0.4,0.3962853795,0.8186531737,0.09231644825,0.4052684943,1.046607184
0,0.0817850386,0.9729794948,0.1011564163,0.1907602936,1
0.1,0.0817850386,0.9729794948,0.1011564163,0.1907602936,1.002835611
0.2,0.0817850386,0.9729794948,0.1011564163,0.1907602936,1.011342444
0.3,0.0817850386,0.9729794948,0.1011564163,0.1907602936,1.025520498
0.4,0.0817850386,0.9729794948,0.1011564163,0.1907602936,1.045369775
0,0.7322654414,0.3689803123,0.5062520012,0.2671137654,1
0.1,0.7322654414,0.3689803123,0.5062520012,0.2671137654,1.002826608
0.2,0.7322654414,0.3689803123,0.5062520012,0.2671137654,1.01130643
0.3,0.7322654414,0.3689803123,0.5062520012,0.2671137654,1.025439468
0.4,0.7322654414,0.3689803123,0.5062520012,0.2671137654,1.045225721
0,0.2925138832,0.1802032164,0.7958827848,0.4985308634,1
0.1,0.2925138832,0.1802032164,0.7958827848,0.4985308634,1.00170509
0.2,0.2925138832,0.1802032164,0.7958827848,0.4985308634,1.00682036
0.3,0.2925138832,0.1802032164,0.7958827848,0.4985308634,1.015345809
0.4,0.2925138832,0.1802032164,0.7958827848,0.4985308634,1.027281439
0,0.5157450629,0.5613725799,0.3691221989,0.5316170228,1
0.1,0.5157450629,0.5613725799,0.3691221989,0.5316170228,1.002711905
0.2,0.5157450629,0.5613725799,0.3691221989,0.5316170228,1.010847618
0.3,0.5157450629,0.5613725799,0.3691221989,0.5316170228,1.024407141
0.4,0.5157450629,0.5613725799,0.3691221989,0.5316170228,1.043390472
0,0.4816026933,0.8047174304,0.2964954923,0.1804968864,1
0.1,0.4816026933,0.8047174304,0.2964954923,0.1804968864,1.002868085
0.2,0.4816026933,0.8047174304,0.2964954923,0.1804968864,1.011472341
0.3,0.4816026933,0.8047174304,0.2964954923,0.1804968864,1.025812768
0.4,0.4816026933,0.8047174304,0.2964954923,0.1804968864,1.045889365
0,0.6145418527,0.369580633,0.6389492002,0.2783745437,1
0.1,0.6145418527,0.369580633,0.6389492002,0.2783745437,1.002615671
0.2,0.6145418527,0.369580633,0.6389492002,0.2783745437,1.010462684
0.3,0.6145418527,0.369580633,0.6389492002,0.2783745437,1.023541039
0.4,0.6145418527,0.369580633,0.6389492002,0.2783745437,1.041850737
0,0.02970535315,0.8230925978,0.09572682081,0.5589924357,1
